Job ID,Location ID,Title,Final URL,Image URL,Subtitle,Description,Category,Contextual keywords,Address,Salary,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
2866005-A,14,安全担当スタッフ（産業機器製造業）,https://kyujin.careerlink.asia/job/安全担当スタッフ（産業機器製造業）/2866005,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),指定された時間枠内にタスクを完了するようにチームを導きます。 安全に関する会議に参加し、提案を行い、チームの作業の安全性を監視します。 割り当てられた建設タスクを完了します。 部下の日常の労働条件に適したタスクを割り当てます     勤務日 / 時間: 月曜～金曜、08:30～17:15 (土曜: 1 or 2 回/月) 社用車 + フリートカード 住宅手当（試用期間後） 電話手当 積立基金 3% 年次休暇 7～15 日/年 傷害保険、健康保険,"サービス,施工管理・設備・環境保全,その他整備・生産・製造・工事関連職","","47 MT&T Building, Room 58S, Sukhumvit 69 Rd., Phra Khanong Nuea, Watthana, Bangkok, バンコク","THB65,000.00 - THB90,000.00",,,,,,
2866007-A,BKK,Webコンテンツマネージャ（邦人向け現地情報ポータルサイト）,https://kyujin.careerlink.asia/job/webコンテンツマネージャ（邦人向け現地情報ポータルサイト）/2866007,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),コンテンツの企画と戦略立案 コンテンツ制作の管理 Seo対策 サイトの更新とメンテナンス データ分析と改善     勤務日/時間： (月曜日から金曜日および隔週土曜日) ボーナス及び昇給：1回/年　ビザ/労働許可証支給 社会保険加入・民間医療保険加入・携帯電話/Pc支給・日本tv視聴権利支給 年次有給休暇付与・疾病休暇付与・営業報酬金制度あり,"営業・企画営業（法人向け）,営業・企画営業（個人向け）,IT","","47 MT&T Building, Room 58S, Sukhumvit 69 Rd., Phra Khanong Nuea, Watthana, Bangkok, バンコク",translation missing: ja.web.common.more_than,,,,,,
2866008-A,BKK,Webコンテンツ制作スタッフ（邦人向け現地情報ポータルサイト）,https://kyujin.careerlink.asia/job/webコンテンツ制作スタッフ（邦人向け現地情報ポータルサイト）/2866008,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),下記マネージャ業務サポートおよび制作 コンテンツの企画と戦略立案 コンテンツ制作の管理 Seo対策 サイトの更新とメンテナンス データ分析と改善   勤務日/時間： (月曜日から金曜日および隔週土曜日) ボーナス及び昇給：1回/年　ビザ/労働許可証支給 社会保険加入・民間医療保険加入・携帯電話/Pc支給・日本tv視聴権利支給 年次有給休暇付与・疾病休暇付与・営業報酬金制度あり,"営業・企画営業（法人向け）,営業・企画営業（個人向け）,IT","","47 MT&T Building, Room 58S, Sukhumvit 69 Rd., Phra Khanong Nuea, Watthana, Bangkok, バンコク",translation missing: ja.web.common.more_than,,,,,,
2866014-A,HCM,女性活躍中！ハノイ近郊勤務でaseanへ出張もこなす業界未経験可能な営業職(化学品製造),https://kyujin.careerlink.asia/job/女性活躍中！ハノイ近郊勤務でaseanへ出張もこなす業界未経験可能な営業職-化学品製造/2866014,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),既存顧客及び新規開拓への営業活動（既存：8割、新規2割） 本社との定例会議、報告資料作成、営業会議の進行 プロジェクト管理   勤務 08: :00　※休憩80分(昼休憩を含む)月曜日～金曜日  休日 休日 : 年118日　（土曜日 / 日曜日 / 祝日(祝日の何日かは通常出社日となります) ※企業カレンダーに準ずる） 福利厚生 年次有給休暇、残業手当(5時間/月 程度)、土日出勤手当賞与( － ヶ月程度)社会保険、健康保険、失業保険24時間労災保険（通勤以外の事故に対応）年1回健康診断昇給 年1回イベント(社員旅行、運動会、忘年会、女性の日、),"営業・企画営業（法人向け）,その他整備・生産・製造・工事関連職,貿易、国際業務","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,000.00 - USD2,500.00",,,,,,
2866035-A,BD,製造技術者（順送プレス）,https://kyujin.careerlink.asia/job/製造技術者（順送プレス）/2866035,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),順送プレス工程における工程管理と技術的な業務を頂きます。 新規金型購入時の発注対応とその金型を使用したサンプルテスト。不良品発生時の原因究明と金型の調整業務。メンテナンス管理。プレス工程の管理業務。 勤務時間：8: :00勤務日：月‐ 土 (第1・第3土曜休み),"製造管理,エンジニア","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,500.00 - USD3,000.00",,,,,,
2866036-A,BKK,営業マネージャ代理（オートメーション用ハーネス製品）,https://kyujin.careerlink.asia/job/営業マネージャ代理（オートメーション用ハーネス製品）/2866036,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人), Asean 市場（主にタイ、ベトナム）の管理。 原価計画に基づいて、組み立て製品の販売価格案と価格明細書を作成。 Qcd に関して顧客および工場と交渉および調整。 顧客との関係構築：定期的に顧客を訪問。 部下の業務を管理。 日本本社への営業報告 さまざまな改善と改革の検討と実施。 売上管理 通訳（タイ語英語、タイ語日本語、英語日本語） ゼネラルマネージャーの指示のもと、さまざまなタスクの補助とサポート。   勤務時間：月曜日～金曜日（8:30～17:30）   福利厚生（90日間の試用期間終了後） 1. 皆勤：500 Thb/月（遅刻なし、休暇なし） 2. 知的障害、傷害に対する団体保険 3. 医療費： Thb/年 4. 歯科治療費： Thb/年 5. スパ、フィットネス、または家族医療： Thb/年 6. 積立金：基本給の5％、10％、または15％から選択可能（会社負担は5％のみ） 7. 最初の3年間は6日間の年次休暇、4年目からは1日追加（年次休暇は最大12日以内） 8. 年次健康診断 9. 会社旅行 10. 新年会 11. 年間ボーナス（会社の決定による）,営業・企画営業（法人向け）,"","47 MT&T Building, Room 58S, Sukhumvit 69 Rd., Phra Khanong Nuea, Watthana, Bangkok, バンコク","THB70,000.00 - THB100,000.00",,,,,,
2866088-A,HN,「国際舞台で活躍！日本企業向け高度人材紹介営業スタッフ募集」,https://kyujin.careerlink.asia/job/「国際舞台で活躍！日本企業向け高度人材紹介営業スタッフ募集」/2866088,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),ベトナムから日本国内企業に向けて、高度人材をご紹介する営業スタッフを募集しています。国際的なビジネスシーンで活躍しながら、ベトナムと日本をつなぐ架け橋となれるお仕事です。 【具体的な仕事内容】 新規顧客への営業活動　日本国内の企業様に対し、ベトナムの優秀な人材をご紹介。お客様のニーズを丁寧にヒアリングし、最適な人材をご提案します。既存顧客のフォロー営業　継続的な信頼関係を築き、企業様のビジネス成長をサポート。追加ニーズの把握やアフターフォローを通じて、満足度の高いサービスを提供します。訪越されたお客様のアテンド業務　日本からベトナムを訪れるお客様のビジネス訪問や商談をサポート。現地の文化やビジネス習慣に精通したスタッフとして、お客様のスムーズな活動をお手伝いします。 【こんな方におすすめ】 人と接するのが好きで、国際的な仕事にチャレンジしたい方日本とベトナムの架け橋となりたい方明るく前向きな姿勢で業務に取り組める方 インセンティブで頑張りが反映されます！毎月の目標達成で30000円〜のインセブとなります 勤務8: :00月〜金 福利厚生社会保険完備就労許可書取得補助インセンティブ制度渡航時片道費用補助,"営業・企画営業（法人向け）,サービス,コンサルタント","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン",translation missing: ja.web.common.more_than,,,,,,
2866143-A,HN,【大規模wms導入pj】日系工場のit導入マネジメント担当募集,https://kyujin.careerlink.asia/job/【大規模wms導入pj】日系工場のit導入マネジメント担当募集/2866143,https://kyujin.careerlink.asia/image/,キャリアリンク(仲介求人),●基本的には「新規システム導入プロジェクト」であり、 　工場全体のシステム化を推進します。 　業務としては、下記の様なものを想定（全てできる方はいないと思います、一部で可)。 ●現在進行中の大きなシステムは、Wms（倉庫管理システム）ですが、 　その他各部署で導入のスモールシステムにもご対応いただく予定です。   １）ベンダーコントロール、社内ユーザー部門とりまとめ 　・要件定義とりまとめ、進捗管理など 　・ソフトウェア、ハードウェアの両面から実運用で発生し得る問題の想定や、 　　その回避案の策定、運用ルール作りなど（文書化）。 　・複数ベンダーでapiでのデータ連携があるため、仕様などについて、 　　調整作業をお願いします。 ２）システム間連携の企画・構築 　・既存システムとの連携確保、将来的な接続を考慮したアーキテクチャの検討や、 　　ロードマップの作成。 　　※WMSはPhase1で、その後長期に亘りプロジェクトが進行する予定 ３）ユーザーテストサポート 　・Wmsのユーザー運用テストが始まっているのでこのサポートをしていただきます。 　・また、本番環境への切り替え準備（マスタ等）にも関わっていただく予定です。 ４）サーバー管理 　・既存サーバの管理（アップデート、バックアップ） 　・新規サーバーのセットアップ（Linux経験者の場合） ５）その他 　・システム導入／運用にあたり、ネットワークに関する知識もある程度必要です。 　　また、ＩＴインフラ部門（日本人）との連携が必要です。 　・フローチャートが書ける、或いはＥＲ図が書ける、という方は歓迎です。 　・また、ハードウェアのキッティングの経験がある方も歓迎です。 勤務日時：月～金曜日/土曜日(繁忙期は隔週) 7:30～16:30ハノイ市内より通勤車両あり社員食堂あり海外旅行傷害保険：会社負担,"その他整備・生産・製造・工事関連職,IT","","Room 307, DMC Tower, 535 Kim Ma, ハノイ","USD2,000.00 - USD4,000.00",,,,,,
2866146-A,HCM,Bse（Web開発 / 受注）,https://kyujin.careerlink.asia/job/bse（web開発-受注）/2866146,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),"＜業務内容＞BSEとしてお客様より受注したWebApp, NativeApp開発における管理をしていただきます。・Scrum開発で日越協力して企画・開発・管理・Sprint計画を顧客と打ち合わせ・内容を明確にした指示書の作成・社内WIKIへの記載・テストの実施（レビュー・修正・管理）・進捗情報、不具合の報告 ＜勤務日時＞月‐金 8: :00 （残業なし）祝日はベトナムの暦に従います。",IT,"","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD3,000.00",,,,,,
2866278-A,HCM,営業スタッフ（プラスチック製産業資材）,https://kyujin.careerlink.asia/job/営業スタッフ（プラスチック製産業資材）/2866278,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),プラスチック原料やプラスチック製の産業資材の新規顧客開拓および既存顧客対応を担当していただきます。顧客はベトナム国内にもいますが、海外顧客対応がメインとなる予定です。そのため、毎月1週間程度、東南アジア地域およびインドへの出張が発生します。 ・ベトナム国内、東南アジア地域の新規開拓営業・既存顧客へのフォローおよび関係構築・顧客のニーズに応じたプラスチック製品や産業資材・原料の提案・仕入先やメーカーとの調整、価格交渉・見積書・契約書の作成および受発注管理 ＜勤務日時＞月‐金：7:30‐16:30,営業・企画営業（法人向け）,"","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,000.00 - USD3,000.00",,,,,,
2866305-A,BKK,営業(商社/原材料),https://kyujin.careerlink.asia/job/営業-商社-原材料/2866305,https://kyujin.careerlink.asia/image/,キャリアリンク (仲介求人),原材料分野（鉄金属、炭素材料、スクラップ、廃棄物、バイオマス燃料など）および機械分野（設備、操業用消耗資材など）の営業活動を行う。（国内外のメーカー・サプライヤーから仕入れ、国内外の顧客へ販売）。販売先：鉄鋼、アルミニウム、セメント、製紙、化学業界 日本本社、国際グループ会社、海外のサプライヤー・顧客とのビジネスコミュニケーションおよび報告を、日本語・英語で行う。また、国内のサプライヤー・顧客とはタイ語または英語でコミュニケーションを行う。  日本人顧客（Vip顧客を含む）のタイ出張の計画・同行・アレンジを行う。  日本語・英語またはタイ語の通訳・翻訳業務を行う。  会社・顧客・サプライヤー向けの報告書やプレゼン資料を作成する。  貿易業務（輸出入取引）を実行する。  新規商品の開発や新規顧客の開拓を行い、関連データを収集する。    勤務日／時間:　月～金曜日/ 08:00～17:15  社会保険  退職積立金（プロビデントファンド）  団体保険  制服支給  通勤手当（交通費支給）  社用車サポート  年次有給休暇 6～12日  社員旅行  新年会  年間健康診断  ボーナス  歯科保険  ビザ＆就労許可証支援 ,営業・企画営業（法人向け）,"","47 MT&T Building, Room 58S, Sukhumvit 69 Rd., Phra Khanong Nuea, Watthana, Bangkok, バンコク",translation missing: ja.web.common.more_than,,,,,,
