Job ID,Location ID,Title,Final URL,Image URL,Subtitle,Description,Category,Contextual keywords,Address,Salary,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
2477370-A,JP,イベント関連事務局海外対応募集(Fe1213),,,株式会社トライフル,業務内容：展示会の海外出展者／協力団体とのメール・Tel・会議、英文レターの作成など,人事・総務,"","〒104-0061 東京都中央区銀座6-10-1 GINZA SIX 13F, 日本","Yen4,000,000.00 - Yen6,000,000.00",,,,,,
2477372-A,JP,イベントディレクター、アシスタント(Fe1213),,,株式会社トライフル,展示会および関連イベントの事務局業務・運営業務全般。未経験歓迎。 雇用形態など応相談。,人事・総務,"","〒104-0061 東京都中央区銀座6-10-1 GINZA SIX 13F, 日本","Yen4,000,000.00 - Yen6,000,000.00",,,,,,
2481988-A,BKK,Snsコンテンツ確認業務担当 / Content Moderator (Japanese),,,合同会社details,"タイ、バンコクでのお仕事、10名の大量募集です。 英語ビジネスレベル、日本語ネイティブレベルの方を募集中！移住サポート有り！ （応募時には英文職務経歴書を添付ください）   勤務地：Bitec Bangna（バンコク、タイ） 職務内容：ユーザーが安全にネットサーフィンを楽しめるようにする。 詐欺を企てるものによって作られた有害または露骨なコンテンツからユーザーを保護するよう努力する。自社またはブランドについてユーザーが作成したコンテンツを選別するコンテンツの正確性やブランドが設定したその他の基準をチェックするコンテンツがあらかじめ決められた構造に従っていることを確認する。 コンテンツ作成ガイドラインに違反したユーザーやメンバーを禁止するオンラインビデオ//コンテンツ//苦情/法的通知の確認 お客様からいただいた、著作物・素材に関する誤った判断について エンドユーザーの著作物/素材に関連する不正な決定に関するエンドユーザーからの通知人気ソーシャルメディアプラットフォームのコンテンツのレビュー/アップデートソーシャルメディアアップロードのために受け取ったコンテンツの監査と共有。 勤務： 週5日勤務（ローテーションによる週休2日制）交代制勤務（モーニングシフト , イブニングシフト 、ナイトシフト ) 入社：2023年1月23日（1月3日までにバンコクに入れる方）","通訳・翻訳,IT","","東京都調布市, 日本",translation missing: ja.web.common.more_than,,,,,,
2482783-A,JP,投資関連のユーザー向けカスタマーサポート立ち上げメンバー【Fp1223】,,,株式会社トライフル,・カスタマーサポートの立ち上げ・システムの導入・お客様対応・不具合時のメンテナンス　他,サービス,"","〒104-0061 東京都中央区銀座6-10-1 GINZA SIX 13F, 日本","Yen6,000,000.00 - Yen12,000,000.00",,,,,,
2198220-A,HCM,ウェブデベロッパーリーダー,,,キャリアリンク (仲介求人),日本側と現地でwebサイトの制作を受注しておりますが、ベトナムでの開発業務における管理及び技術指導を中心にご勤務いただきます。 日本側とのミーティング（参加）で決まった内容を元に自社開発スタッフへの仕事の振り分けや、開発方法の指導、品質確認を頂き、日本側へ納品までを遂行、管理頂きます。   勤務時間：8：00～17：00勤務日：月～金,IT,"","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,000.00 - USD2,500.00",,,,,,
2481916-A,JK,営業アシスタントマネージャー＜Jp651222＞,,,Os Selnajaya,"1) 新規輸出入ビジネスの拡大2) 日本人顧客のサポート3) 営業およびマーケティング活動4) グループリーダーと経営陣への報告5) 他のインドネシア人営業スタッフとの連携報告先：インドネシア人グループリーダー※2023年4月までに来イが可能で入社できる方を優遇。 ■給与：支払いはルピア ■住居：Rp. ,000/月 支給 ■通勤：車とドライバー支給（ガソリン代と高速道路費用も支給） ■賞与：Thr（宗教手当）と年１回のボーナス（パフォーマンス次第） ■その他：就労ビザ、医療補助Rp. /月  勤務地：チカラン",営業・企画営業（法人向け）,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR37,000,000.00 - IDR44,000,000.00",,,,,,
2481919-A,JK,営業＜Jp511022＞,,,Os Selnajaya,日系企業様への建築営業主にタンゲラン・チカラン・カラワンに工場を構える日系メーカー向けに、工場の増築・改修・新設などの予定がないかヒアリング、提案。 ※提案営業ができる方を優遇※在住場所は不問だが遅くとも2022年12月、年明けに勤務開始できる方歓迎。 ■給与：支払いはルピア ■住居：応相談 ■通勤：通勤車（ドライバー付き）貸与あり ■その他：就労ビザ以外は応相談  勤務地：ジャカルタ,営業・企画営業（法人向け）,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR25,000,000.00 - IDR45,000,000.00",,,,,,
2481920-A,JK,総務・アドミニストレーションスタッフ＜Jp440922＞,,,Os Selnajaya,駐在日本人のビザ、アパート手配等。日本語↔インドネシア語の通訳/翻訳業務。購買・財務等その他アドミニストレーションサポート業務。　　　 ■給与：支払いはルピア ■住居：給与に含まれる ■通勤：社用車での通勤時送迎（チカランエリアのみ） ■保険：海外旅行保険加入（本人のみ） ■その他：就労ビザ支給  勤務地：チカラン,人事・総務,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR20,000,000.00 - IDR25,000,000.00",,,,,,
2481922-A,JK,品質管理スタッフ＜Jp501022＞,,,Os Selnajaya,顧客は主に日系企業。２輪の電子部品を取り扱う。主な業務内容は、１）品質のクレーム対応。ローカルスタッフのクレーム対応サポート及びスーパービジョン。２）品質管理がマニュアル通り行われているかチェックのための現場のパトロール。 ※バンドンで長く働ける方優遇。 ■給与：支払いはルピア ■住居：単身者には寮（バンドンにあるアパート）支給 ■通勤：通勤時は社用車での送迎 ■保険：Bpjs ■その他：就労ビザ  勤務地：バンドン,品質管理または品質保証,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR25,000,000.00 - IDR30,000,000.00",,,,,,
2481923-A,JK,財務・経理<Jp290622>,,,Os Selnajaya,・税務調査、税務裁判対応・月報、業績、決算書など作成と本社への報告・予算、事業計画など。 ■給与：支払いはルピア ■住居：手当てあり ■通勤：車（ドライバー付き） ■保険：海外旅行保険あり ■その他：就労ビザ、Thr   勤務地：チカラン、カラワン ※勤務地は会議の有無でチカラン、カラワンどちらかに出社。※面接形式は対面で、回数は2回を予定。※勤務開始は早くとも来年1月を予定。（状況によって早まる等の変更有）,経理・財務,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR44,000,000.00 - IDR45,000,000.00",,,,,,
2481924-A,JK,機械設計者＜Jp491022＞,,,Os Selnajaya,スケッチ・基本設計・詳細設計・部品選定※電機スキルは別途担当者いるので必要なし。※日本在住者には1ヵ月日本で研修の可能性有。 ■給与：支払いはルピア ■住居：住宅補助有り ■通勤：通勤車（ドライバー付き）貸与あり ■その他：就労ビザ、海外保険、Thr 勤務地：チカラン,CADオペレーター（建築）・製図,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","USD2,000.00 - USD3,000.00",,,,,,
2481925-A,JK,秘書<Jp370722>,,,Os Selnajaya,社長&amp;副社長の秘書- 通訳と翻訳 サポートメンバーに関連するサポート全般(総務) 海外駐在員へのサポート 海外研修 企業内転勤者（就労visa） その他 ■給与：支払いはルピア ■住居：応相談（家賃補助あり、持ち家ある方は手当なし）　 ■通勤：車＋ドライバー ■その他：就労ビザ、Bpjs＋医療保険、パソコン・携帯電話の貸与   勤務地：チカラン,"サービス,人事・総務","","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ",translation missing: ja.web.common.negotiable,,,,,,
2481926-A,JK,Business Development Manager /事業開発マネージャー<Jp380822>,,,Os Selnajaya,インフラおよび機械分野事業、特に鉄道輸送分野についての知識とスキル、およびネットワークを活用しビジネスを促進・開発させる。業務に関する社内外の関係者とのコミュニケーションを円滑に行い、上記業務に必要な情報や知識を得る。インフラおよび機械プロジェクトに関する従業員の能力をトレーニングし開発する。 ※面接は最低二回、遅くとも9月中旬までに入社の予定。※インドネシア在住者優遇。 ■給与：支払いはルピア ■住居：給与に含む ■通勤：給与に含む ■その他：就労ビザ・医療補助有り・有給休暇支給、Thr（宗教ボーナス）  勤務地：ジャカルタ,"建築・土木,コンサルタント","","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR40,000,000.00 - IDR70,000,000.00",,,,,,
